Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,HomeTeamElo,AwayTeamElo,EloDifference,Home_AvgGoalsScored,Home_AvgGoalsConceded,Home_Wins,Home_Draws,Home_Losses,Away_AvgGoalsScored,Away_AvgGoalsConceded,Away_Wins,Away_Draws,Away_Losses,HTH_HomeWins,HTH_AwayWins,HTH_Draws,HTH_AvgHomeGoals,HTH_AvgAwayGoals
2022-08-13 17:30:00,Milan,Udinese,4,2,H,1.41,4.75,8.14,1.73,2.14,1515.0,1485.0,30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-13 17:30:00,Sampdoria,Atalanta,0,2,A,4.45,3.91,1.77,1.69,2.18,1485.0,1515.0,-30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-13 19:45:00,Monza,Torino,1,2,A,2.58,3.29,2.84,2.09,1.76,1485.0,1515.0,-30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-13 19:45:00,Lecce,Inter,1,2,A,10.22,5.67,1.3,1.6,2.37,1485.0,1515.0,-30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-14 17:30:00,Lazio,Bologna,2,1,H,1.58,4.3,5.49,1.65,2.26,1515.0,1485.0,30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-14 17:30:00,Fiorentina,Cremonese,3,2,H,1.38,5.02,8.16,1.63,2.25,1515.0,1485.0,30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-14 19:45:00,Spezia,Empoli,1,0,H,2.49,3.33,2.91,1.9,1.92,1515.0,1485.0,30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-14 19:45:00,Salernitana,Roma,0,1,A,6.42,4.57,1.49,1.77,2.08,1485.0,1515.0,-30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-15 17:30:00,Verona,Napoli,2,5,A,3.46,3.58,2.1,1.78,2.05,1485.0,1515.0,-30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-15 19:45:00,Juventus,Sassuolo,3,0,H,1.46,4.81,6.65,1.52,2.52,1515.0,1485.0,30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-20 17:30:00,Torino,Lazio,0,0,D,2.99,3.45,2.38,1.87,1.95,1515.0,1515.0,0.0,2.0,1.0,1,0,0,2.0,1.0,1,0,0,0,0,0,0.0,0.0
2022-08-20 17:30:00,Udinese,Salernitana,0,0,D,1.75,3.89,4.63,1.78,2.06,1485.0,1485.0,0.0,2.0,4.0,0,0,1,0.0,1.0,0,0,1,0,0,0,0.0,0.0
2022-08-20 19:45:00,Inter,Spezia,3,0,H,1.17,7.9,15.8,1.33,3.34,1530.0,1500.0,30.0,2.0,1.0,1,0,0,1.0,0.0,1,0,0,0,0,0,0.0,0.0
2022-08-20 19:45:00,Sassuolo,Lecce,1,0,H,1.79,3.99,4.24,1.63,2.29,1500.0,1470.0,30.0,0.0,3.0,0,0,1,1.0,2.0,0,0,1,0,0,0,0.0,0.0
2022-08-21 17:30:00,Empoli,Fiorentina,0,0,D,3.73,3.83,1.94,1.66,2.23,1486.29,1513.71,-27.42,0.0,1.0,0,0,1,3.0,2.0,1,0,0,0,0,0,0.0,0.0
2022-08-21 17:30:00,Napoli,Monza,4,0,H,1.35,5.4,8.49,1.52,2.55,1528.71,1471.29,57.42,5.0,2.0,1,0,0,1.0,2.0,0,0,1,0,0,0,0.0,0.0
2022-08-21 19:45:00,Atalanta,Milan,1,1,D,2.79,3.49,2.5,1.74,2.11,1515.0,1515.0,0.0,2.0,0.0,1,0,0,4.0,2.0,1,0,0,0,0,0,0.0,0.0
