Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,HomeTeamElo,AwayTeamElo,EloDifference,Home_AvgGoalsScored,Home_AvgGoalsConceded,Home_Wins,Home_Draws,Home_Losses,Away_AvgGoalsScored,Away_AvgGoalsConceded,Away_Wins,Away_Draws,Away_Losses,HTH_HomeWins,HTH_AwayWins,HTH_Draws,HTH_AvgHomeGoals,HTH_AvgAwayGoals
2022-08-05 19:30:00,Ein Frankfurt,Bayern Munich,1,6,A,5.82,4.96,1.49,1.39,2.94,1485.0,1515.0,-30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-06 14:30:00,Wolfsburg,Werder Bremen,2,2,D,1.88,3.74,4.06,1.78,2.06,1500.0,1500.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-06 14:30:00,Union Berlin,Hertha,3,1,H,1.77,3.73,4.7,2.0,1.83,1515.0,1485.0,30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-06 14:30:00,Augsburg,Freiburg,0,4,A,3.39,3.51,2.15,1.88,1.93,1485.0,1515.0,-30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-06 14:30:00,Bochum,Mainz,1,2,A,3.23,3.42,2.26,1.93,1.89,1485.0,1515.0,-30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-06 14:30:00,M'gladbach,Hoffenheim,3,1,H,2.14,4.04,3.05,1.37,3.09,1515.0,1485.0,30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-06 17:30:00,Dortmund,Leverkusen,1,0,H,2.06,4.12,3.19,1.39,3.01,1515.0,1485.0,30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-07 14:30:00,Stuttgart,RB Leipzig,1,1,D,4.35,3.92,1.79,1.75,2.09,1500.0,1500.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-07 16:30:00,FC Koln,Schalke 04,3,1,H,1.73,4.14,4.48,1.54,2.47,1515.0,1485.0,30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-12 19:30:00,Freiburg,Dortmund,1,3,A,3.06,3.74,2.25,1.58,2.4,1500.0,1530.0,-30.0,4.0,0.0,1,0,0,1.0,0.0,1,0,0,0,0,0,0.0,0.0
