Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,HomeTeamElo,AwayTeamElo,EloDifference,Home_AvgGoalsScored,Home_AvgGoalsConceded,Home_Wins,Home_Draws,Home_Losses,Away_AvgGoalsScored,Away_AvgGoalsConceded,Away_Wins,Away_Draws,Away_Losses,HTH_HomeWins,HTH_AwayWins,HTH_Draws,HTH_AvgHomeGoals,HTH_AvgAwayGoals
2022-08-05 20:00:00,Lyon,Ajaccio,2,1,H,1.32,5.35,9.65,1.68,2.21,1515.0,1485.0,30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-06 16:00:00,Strasbourg,Monaco,1,2,A,2.6,3.36,2.75,1.97,1.85,1485.0,1515.0,-30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-06 20:00:00,Clermont,Paris SG,0,5,A,10.06,6.53,1.26,1.38,3.0,1485.0,1515.0,-30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-07 12:00:00,Toulouse,Nice,1,1,D,2.84,3.41,2.49,1.86,1.96,1500.0,1500.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-07 14:00:00,Angers,Nantes,0,0,D,2.73,3.22,2.71,2.13,1.72,1500.0,1500.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-07 14:00:00,Lens,Brest,3,2,H,1.56,4.43,5.54,1.66,2.23,1515.0,1485.0,30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-07 14:00:00,Lille,Auxerre,4,1,H,1.72,3.93,4.73,1.83,1.98,1515.0,1485.0,30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-07 14:00:00,Montpellier,Troyes,3,2,H,2.19,3.42,3.35,1.91,1.9,1515.0,1485.0,30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-07 16:05:00,Rennes,Lorient,0,1,A,1.34,5.25,8.85,1.62,2.31,1485.0,1515.0,-30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-07 19:45:00,Marseille,Reims,4,1,H,1.57,4.07,6.05,1.92,1.89,1515.0,1485.0,30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-12 20:00:00,Nantes,Lille,1,1,D,3.02,3.37,2.4,1.95,1.87,1500.65,1514.35,-13.71,0.0,0.0,0,1,0,4.0,1.0,1,0,0,0,0,0,0.0,0.0
2022-08-13 16:00:00,Monaco,Rennes,1,1,D,2.17,3.6,3.26,1.76,2.08,1513.71,1486.29,27.42,2.0,1.0,1,0,0,0.0,1.0,0,0,1,0,0,0,0.0,0.0
2022-08-13 20:00:00,Paris SG,Montpellier,5,2,H,1.1,11.08,24.23,1.22,4.25,1530.0,1500.0,30.0,5.0,0.0,1,0,0,3.0,2.0,1,0,0,0,0,0,0.0,0.0
2022-08-14 14:00:00,Troyes,Toulouse,0,3,A,2.67,3.3,2.7,2.1,1.74,1470.65,1514.35,-43.71,2.0,3.0,0,0,1,1.0,1.0,0,1,0,0,0,0,0.0,0.0
2022-08-14 14:00:00,Reims,Clermont,2,4,A,2.14,3.28,3.63,2.16,1.7,1470.0,1500.0,-30.0,1.0,4.0,0,0,1,0.0,5.0,0,0,1,0,0,0,0.0,0.0
2022-08-14 14:00:00,Auxerre,Angers,2,2,D,2.23,3.27,3.42,2.11,1.74,1485.65,1499.35,-13.71,1.0,4.0,0,0,1,0.0,0.0,0,1,0,0,0,0,0.0,0.0
2022-08-14 14:00:00,Ajaccio,Lens,0,0,D,3.16,3.25,2.36,2.22,1.67,1486.29,1513.71,-27.42,1.0,2.0,0,0,1,3.0,2.0,1,0,0,0,0,0,0.0,0.0
2022-08-14 16:05:00,Nice,Strasbourg,1,1,D,2.19,3.31,3.48,2.1,1.75,1499.35,1485.65,13.71,1.0,1.0,0,1,0,1.0,2.0,0,0,1,0,0,0,0.0,0.0
