Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,HomeTeamElo,AwayTeamElo,EloDifference,Home_AvgGoalsScored,Home_AvgGoalsConceded,Home_Wins,Home_Draws,Home_Losses,Away_AvgGoalsScored,Away_AvgGoalsConceded,Away_Wins,Away_Draws,Away_Losses,HTH_HomeWins,HTH_AwayWins,HTH_Draws,HTH_AvgHomeGoals,HTH_AvgAwayGoals
2022-08-12 20:00:00,Osasuna,Sevilla,2,1,H,3.28,3.08,2.43,2.5,1.54,1515.0,1485.0,30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-13 16:00:00,Celta,Espanol,2,2,D,1.83,3.68,4.5,2.04,1.8,1500.0,1500.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-13 18:00:00,Valladolid,Villarreal,0,3,A,3.93,3.66,1.94,1.95,1.87,1485.0,1515.0,-30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-13 20:00:00,Barcelona,Vallecano,0,0,D,1.21,6.79,14.2,1.5,2.58,1500.0,1500.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-14 16:30:00,Cadiz,Sociedad,0,1,A,3.55,3.24,2.2,2.38,1.59,1485.0,1515.0,-30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-14 18:30:00,Valencia,Girona,1,0,H,1.89,3.5,4.35,2.07,1.77,1515.0,1485.0,30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-14 21:00:00,Almeria,Real Madrid,1,2,A,7.17,4.91,1.42,1.58,2.38,1485.0,1515.0,-30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-15 16:30:00,Ath Bilbao,Mallorca,0,0,D,1.6,3.83,6.23,2.16,1.7,1500.0,1500.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-15 18:30:00,Getafe,Ath Madrid,0,3,A,4.79,3.19,1.92,2.71,1.47,1485.0,1515.0,-30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-15 20:30:00,Betis,Elche,3,0,H,1.45,4.57,7.27,1.79,2.03,1515.0,1485.0,30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-19 19:00:00,Espanol,Vallecano,0,2,A,2.51,3.05,3.18,2.43,1.57,1485.0,1515.0,-30.0,2.0,2.0,0,1,0,0.0,0.0,0,1,0,0,0,0,0.0,0.0
2022-08-19 21:00:00,Sevilla,Valladolid,1,1,D,1.53,4.17,6.71,1.95,1.88,1485.0,1485.0,0.0,1.0,2.0,0,0,1,0.0,3.0,0,0,1,0,0,0,0.0,0.0
2022-08-20 16:30:00,Osasuna,Cadiz,2,0,H,1.95,3.26,4.44,2.42,1.57,1528.71,1471.29,57.42,2.0,1.0,1,0,0,0.0,1.0,0,0,1,0,0,0,0.0,0.0
2022-08-20 18:30:00,Mallorca,Betis,1,2,A,3.1,3.26,2.42,2.18,1.7,1485.65,1529.35,-43.71,0.0,0.0,0,1,0,3.0,0.0,1,0,0,0,0,0,0.0,0.0
2022-08-20 21:00:00,Celta,Real Madrid,1,4,A,4.71,4.19,1.68,1.68,2.21,1485.65,1529.35,-43.71,2.0,2.0,0,1,0,2.0,1.0,1,0,0,0,0,0,0.0,0.0
2022-08-21 16:30:00,Ath Bilbao,Valencia,1,0,H,1.77,3.61,4.95,2.06,1.77,1515.65,1499.35,16.29,0.0,0.0,0,1,0,1.0,0.0,1,0,0,0,0,0,0.0,0.0
2022-08-21 18:30:00,Ath Madrid,Villarreal,0,2,A,1.93,3.52,4.14,2.05,1.78,1500.0,1530.0,-30.0,3.0,0.0,1,0,0,3.0,0.0,1,0,0,0,0,0,0.0,0.0
2022-08-21 21:00:00,Sociedad,Barcelona,1,4,A,3.38,3.62,2.12,1.79,2.05,1499.35,1515.65,-16.29,1.0,0.0,1,0,0,0.0,0.0,0,1,0,0,0,0,0.0,0.0
2022-08-22 19:00:00,Elche,Almeria,1,1,D,2.5,3.2,3.01,2.2,1.68,1485.0,1485.0,0.0,0.0,3.0,0,0,1,1.0,2.0,0,0,1,0,0,0,0.0,0.0
2022-08-22 21:00:00,Girona,Getafe,3,1,H,2.81,2.84,2.97,2.89,1.41,1500.0,1470.0,30.0,0.0,1.0,0,0,1,0.0,3.0,0,0,1,0,0,0,0.0,0.0
2022-08-26 19:00:00,Girona,Celta,0,1,A,2.77,3.15,2.75,2.21,1.68,1484.38,1501.27,-16.89,1.5,1.0,1,0,1,1.5,3.0,0,1,1,0,0,0,0.0,0.0
