Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,HomeTeamElo,AwayTeamElo,EloDifference,Home_AvgGoalsScored,Home_AvgGoalsConceded,Home_Wins,Home_Draws,Home_Losses,Away_AvgGoalsScored,Away_AvgGoalsConceded,Away_Wins,Away_Draws,Away_Losses,HTH_HomeWins,HTH_AwayWins,HTH_Draws,HTH_AvgHomeGoals,HTH_AvgAwayGoals
2022-08-05 19:00:00,Istanbulspor,Trabzonspor,0,2,A,4.66,3.8,1.71,1.76,2.04,1485.0,1515.0,-30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-06 17:15:00,Sivasspor,Gaziantep,1,1,D,2.0,3.56,3.56,1.85,1.94,1500.0,1500.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-06 19:45:00,Besiktas,Kayserispor,1,0,H,1.5,4.39,6.04,1.71,2.12,1515.0,1485.0,30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-07 17:15:00,Giresunspor,Ad. Demirspor,2,3,A,2.94,3.49,2.3,1.8,2.0,1485.0,1515.0,-30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-07 17:15:00,Karagumruk,Alanyaspor,2,4,A,2.65,3.46,2.53,1.79,2.02,1485.0,1515.0,-30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-07 19:45:00,Antalyaspor,Galatasaray,0,1,A,2.48,3.47,2.7,1.73,2.09,1485.0,1515.0,-30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-08 17:15:00,Buyuksehyr,Kasimpasa,4,0,H,1.82,3.62,4.19,1.83,1.96,1515.0,1485.0,30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-08 19:45:00,Ankaragucu,Konyaspor,0,0,D,3.14,3.44,2.2,1.86,1.92,1500.0,1500.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-08 19:45:00,Fenerbahce,Umraniyespor,3,3,D,1.32,5.21,8.79,1.58,2.36,1500.0,1500.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-12 19:00:00,Trabzonspor,Hatayspor,1,0,H,1.49,4.4,6.33,1.67,2.19,1529.35,1485.65,43.71,2.0,0.0,1,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-13 17:15:00,Kayserispor,Istanbulspor,1,0,H,1.87,3.78,3.87,1.67,2.18,1500.0,1470.0,30.0,0.0,1.0,0,0,1,0.0,2.0,0,0,1,0,0,0,0.0,0.0
2022-08-13 19:45:00,Ad. Demirspor,Sivasspor,3,0,H,1.94,3.64,3.73,1.83,1.97,1529.35,1485.65,43.71,3.0,2.0,1,0,0,1.0,1.0,0,1,0,0,0,0,0.0,0.0
2022-08-13 19:45:00,Galatasaray,Giresunspor,0,1,A,1.43,4.59,7.1,1.72,2.1,1498.71,1501.29,-2.58,1.0,0.0,1,0,0,2.0,3.0,0,0,1,0,0,0,0.0,0.0
