Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,HomeTeamElo,AwayTeamElo,EloDifference,Home_AvgGoalsScored,Home_AvgGoalsConceded,Home_Wins,Home_Draws,Home_Losses,Away_AvgGoalsScored,Away_AvgGoalsConceded,Away_Wins,Away_Draws,Away_Losses,HTH_HomeWins,HTH_AwayWins,HTH_Draws,HTH_AvgHomeGoals,HTH_AvgAwayGoals
2022-07-22 19:45:00,Standard,Gent,2,2,D,4.07,3.53,1.88,1.97,1.82,1500.0,1500.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-07-23 15:00:00,Charleroi,Eupen,3,1,H,1.67,4.05,4.59,1.63,2.23,1515.0,1485.0,30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-07-23 17:15:00,Waregem,Seraing,2,0,H,2.2,3.58,3.03,1.75,2.05,1515.0,1485.0,30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-07-23 17:15:00,Kortrijk,Oud-Heverlee Leuven,0,2,A,2.39,3.51,2.79,1.64,2.22,1485.0,1515.0,-30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-07-23 19:45:00,St Truiden,St. Gilloise,1,1,D,3.98,3.48,1.91,1.99,1.79,1500.0,1500.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-07-24 12:30:00,Club Brugge,Genk,3,2,H,1.74,4.1,4.08,1.45,2.65,1515.0,1485.0,30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-07-24 15:00:00,Mechelen,Antwerp,0,2,A,2.61,3.56,2.5,1.57,2.34,1485.0,1515.0,-30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-07-24 17:30:00,Anderlecht,Oostende,2,0,H,1.27,5.73,9.61,1.53,2.46,1515.0,1485.0,30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-07-24 20:00:00,Westerlo,Cercle Brugge,2,0,H,2.56,3.32,2.68,1.87,1.91,1515.0,1485.0,30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-07-29 19:45:00,St. Gilloise,Charleroi,1,0,H,1.68,3.87,4.88,1.72,2.09,1515.65,1499.35,16.29,1.0,1.0,0,1,0,3.0,1.0,1,0,0,0,0,0,0.0,0.0
