Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,HomeTeamElo,AwayTeamElo,EloDifference,Home_AvgGoalsScored,Home_AvgGoalsConceded,Home_Wins,Home_Draws,Home_Losses,Away_AvgGoalsScored,Away_AvgGoalsConceded,Away_Wins,Away_Draws,Away_Losses,HTH_HomeWins,HTH_AwayWins,HTH_Draws,HTH_AvgHomeGoals,HTH_AvgAwayGoals
2022-08-05 20:15:00,Benfica,Arouca,4,0,H,1.15,7.51,18.19,1.49,2.56,1515.0,1485.0,30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-06 15:30:00,Rio Ave,Vizela,0,1,A,2.28,3.22,3.2,2.06,1.75,1485.0,1515.0,-30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-06 18:00:00,Estoril,Famalicao,2,0,H,2.55,3.23,2.78,2.06,1.74,1515.0,1485.0,30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-06 20:30:00,Porto,Maritimo,5,1,H,1.19,6.76,14.21,1.52,2.47,1515.0,1485.0,30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-07 15:30:00,Santa Clara,Casa Pia,0,0,D,2.03,3.31,3.73,2.14,1.69,1500.0,1500.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-07 18:00:00,Sp Braga,Sp Lisbon,3,3,D,3.6,3.47,2.01,1.94,1.85,1500.0,1500.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-07 20:30:00,Portimonense,Boavista,0,1,A,2.09,3.23,3.66,2.32,1.59,1485.0,1515.0,-30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-07 20:30:00,Chaves,Guimaraes,0,1,A,2.8,3.26,2.48,2.1,1.71,1485.0,1515.0,-30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-08 20:15:00,Gil Vicente,Pacos Ferreira,1,0,H,1.76,3.5,4.76,2.11,1.71,1515.0,1485.0,30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-12 20:15:00,Famalicao,Sp Braga,0,3,A,3.56,3.53,2.02,1.84,1.97,1470.65,1514.35,-43.71,0.0,2.0,0,0,1,3.0,3.0,0,1,0,0,0,0,0.0,0.0
2022-08-13 18:00:00,Casa Pia,Benfica,0,1,A,12.96,5.96,1.23,1.64,2.24,1485.65,1529.35,-43.71,0.0,0.0,0,1,0,4.0,0.0,1,0,0,0,0,0,0.0,0.0
2022-08-13 20:30:00,Sp Lisbon,Rio Ave,3,0,H,1.22,6.19,13.82,1.71,2.13,1514.35,1470.65,43.71,3.0,3.0,0,1,0,0.0,1.0,0,0,1,0,0,0,0.0,0.0
2022-08-14 15:30:00,Boavista,Santa Clara,2,1,H,2.52,3.1,2.94,2.32,1.6,1529.35,1485.65,43.71,1.0,0.0,1,0,0,0.0,0.0,0,1,0,0,0,0,0.0,0.0
2022-08-14 18:00:00,Vizela,Porto,0,1,A,10.63,5.52,1.28,1.66,2.21,1500.0,1530.0,-30.0,1.0,0.0,1,0,0,5.0,1.0,1,0,0,0,0,0,0.0,0.0
2022-08-14 20:30:00,Guimaraes,Estoril,1,0,H,2.02,3.33,3.79,2.11,1.72,1530.0,1500.0,30.0,1.0,0.0,1,0,0,2.0,0.0,1,0,0,0,0,0,0.0,0.0
2022-08-15 15:30:00,Maritimo,Chaves,1,2,A,2.32,3.25,3.1,2.11,1.72,1470.0,1500.0,-30.0,1.0,5.0,0,0,1,0.0,1.0,0,0,1,0,0,0,0.0,0.0
2022-08-15 18:00:00,Arouca,Gil Vicente,1,0,H,2.63,3.28,2.66,2.02,1.78,1501.29,1498.71,2.58,0.0,4.0,0,0,1,1.0,0.0,1,0,0,0,0,0,0.0,0.0
2022-08-15 20:30:00,Pacos Ferreira,Portimonense,0,3,A,2.37,3.19,3.07,2.19,1.67,1470.0,1500.0,-30.0,0.0,1.0,0,0,1,0.0,1.0,0,0,1,0,0,0,0.0,0.0
2022-08-19 20:15:00,Estoril,Rio Ave,2,2,D,2.13,3.23,3.59,2.27,1.63,1498.74,1471.91,26.82,1.0,0.5,1,0,1,0.0,2.0,0,0,2,0,0,0,0.0,0.0
2022-08-20 15:30:00,Santa Clara,Arouca,1,2,A,2.1,3.26,3.63,2.28,1.62,1471.32,1515.62,-44.29,0.5,1.0,0,1,1,0.5,2.0,1,0,1,0,0,0,0.0,0.0
2022-08-20 18:00:00,Chaves,Vizela,1,1,D,2.28,3.22,3.23,2.17,1.69,1500.0,1500.0,0.0,1.0,1.0,1,0,1,0.5,0.5,1,0,1,0,0,0,0.0,0.0
2022-08-20 20:30:00,Porto,Sp Lisbon,3,0,H,2.1,3.43,3.5,1.94,1.87,1544.32,1500.03,44.3,3.0,0.5,2,0,0,3.0,1.5,1,1,0,0,0,0,0.0,0.0
2022-08-21 15:30:00,Casa Pia,Boavista,2,0,H,2.46,3.07,3.06,2.49,1.53,1502.52,1512.48,-9.95,0.0,0.5,0,1,1,1.5,0.5,2,0,0,0,0,0,0.0,0.0
2022-08-21 18:00:00,Sp Braga,Maritimo,5,0,H,1.38,4.87,7.57,1.69,2.16,1527.45,1456.9,70.54,3.0,1.5,1,1,0,1.0,3.5,0,0,2,0,0,0,0.0,0.0
2022-08-21 20:30:00,Portimonense,Guimaraes,2,1,H,2.73,3.21,2.61,2.18,1.68,1516.29,1513.71,2.58,1.5,0.5,1,0,1,1.0,0.0,2,0,0,0,0,0,0.0,0.0
2022-08-22 20:15:00,Gil Vicente,Famalicao,0,0,D,2.21,3.35,3.22,1.99,1.81,1497.5,1471.86,25.64,0.5,0.5,1,0,1,0.0,2.5,0,0,2,0,0,0,0.0,0.0
2022-08-26 20:15:00,Pacos Ferreira,Estoril,0,3,A,2.62,3.07,2.84,2.26,1.63,1456.24,1512.5,-56.26,0.0,2.0,0,0,2,1.33,1.0,1,1,1,0,0,0,0.0,0.0
2022-08-27 15:30:00,Maritimo,Portimonense,0,1,A,2.79,3.11,2.65,2.09,1.73,1444.44,1528.75,-84.31,0.67,4.0,0,0,3,1.67,0.67,2,0,1,0,0,0,0.0,0.0
2022-08-27 18:00:00,Boavista,Benfica,0,3,A,8.49,4.73,1.37,1.72,2.12,1498.2,1543.62,-45.42,1.0,1.0,2,0,1,2.5,0.0,2,0,0,0,0,0,0.0,0.0
2022-08-27 20:30:00,Sp Lisbon,Chaves,0,2,A,1.19,6.71,15.0,1.55,2.41,1485.03,1515.0,-29.97,2.0,2.0,1,1,1,1.0,1.0,1,1,1,0,0,0,0.0,0.0
2022-08-28 15:30:00,Famalicao,Santa Clara,1,0,H,2.17,3.32,3.35,2.04,1.77,1486.83,1456.35,30.49,0.0,1.67,0,1,2,0.67,1.33,0,1,2,0,0,0,0.0,0.0
2022-08-28 18:00:00,Arouca,Sp Braga,0,6,A,4.83,3.85,1.69,1.78,2.04,1501.13,1541.94,-40.81,1.0,1.67,2,0,1,3.67,1.0,2,1,0,0,0,0,0.0,0.0
2022-08-28 20:30:00,Rio Ave,Porto,3,1,H,10.03,5.44,1.29,1.64,2.23,1489.99,1526.24,-36.25,0.67,2.0,0,1,2,3.0,0.33,3,0,0,0,0,0,0.0,0.0
2022-08-29 19:00:00,Guimaraes,Casa Pia,0,1,A,2.01,3.33,3.78,2.12,1.71,1498.23,1518.01,-19.78,1.0,0.67,2,0,1,0.67,0.33,1,1,1,0,0,0,0.0,0.0
2022-08-29 21:15:00,Vizela,Gil Vicente,2,2,D,2.4,3.24,2.97,2.03,1.77,1499.89,1497.61,2.28,0.67,0.67,1,1,1,0.33,0.33,1,1,1,0,0,0,0.0,0.0
2022-08-30 20:15:00,Benfica,Pacos Ferreira,3,2,H,1.08,10.65,29.43,1.34,3.18,1554.93,1444.93,110.0,2.67,0.0,3,0,0,0.0,2.33,0,0,3,0,0,0,0.0,0.0
2022-09-02 19:00:00,Benfica,Vizela,2,1,H,1.18,7.22,14.03,1.38,2.97,1567.57,1487.25,80.32,2.75,0.5,4,0,0,1.0,1.0,1,2,1,0,0,0,0.0,0.0
2022-09-02 21:15:00,Estoril,Sp Lisbon,0,2,A,6.63,4.41,1.47,1.74,2.1,1496.31,1501.21,-4.9,1.75,0.75,2,1,1,1.5,2.0,1,1,2,0,0,0,0.0,0.0
2022-09-03 15:30:00,Sp Braga,Guimaraes,1,0,H,1.38,4.87,7.74,1.63,2.27,1555.06,1485.1,69.96,4.25,0.75,3,1,0,0.75,0.75,2,0,2,0,0,0,0.0,0.0
2022-09-03 20:30:00,Gil Vicente,Porto,0,2,A,7.1,4.52,1.44,1.71,2.13,1483.84,1540.01,-56.17,0.75,0.75,1,2,1,2.5,1.0,3,0,1,0,0,0,0.0,0.0
2022-09-04 15:30:00,Casa Pia,Arouca,0,0,D,2.09,3.14,3.83,2.29,1.6,1517.28,1501.86,15.42,0.75,0.25,2,1,1,0.75,2.75,2,0,2,0,0,0,0.0,0.0
2022-09-04 18:00:00,Santa Clara,Maritimo,2,1,H,2.03,3.23,3.89,2.23,1.65,1470.83,1429.96,40.87,0.5,1.25,0,1,3,0.5,3.25,0,0,4,0,0,0,0.0,0.0
2022-09-04 20:30:00,Portimonense,Famalicao,1,0,H,2.31,3.17,3.22,2.14,1.7,1541.95,1473.63,68.32,1.5,0.5,3,0,1,0.25,1.25,1,1,2,0,0,0,0.0,0.0
2022-09-05 19:00:00,Boavista,Pacos Ferreira,1,0,H,2.03,3.25,3.85,2.22,1.65,1510.92,1432.22,78.71,0.75,1.5,2,0,2,0.5,2.5,0,0,4,0,0,0,0.0,0.0
2022-09-05 21:15:00,Chaves,Rio Ave,1,1,D,2.51,3.08,2.95,2.25,1.63,1513.92,1491.07,22.85,1.25,0.75,2,1,1,1.25,1.75,1,1,2,0,0,0,0.0,0.0
2022-09-09 20:15:00,Guimaraes,Santa Clara,1,0,H,1.98,3.28,4.02,2.22,1.66,1499.49,1456.45,43.04,0.6,0.8,2,0,3,0.8,1.2,1,1,3,0,0,0,0.0,0.0
2022-09-10 15:30:00,Famalicao,Benfica,0,1,A,7.45,4.63,1.41,1.68,2.17,1462.59,1578.61,-116.02,0.2,1.2,1,1,3,2.6,0.6,5,0,0,0,0,0,0.0,0.0
2022-09-10 18:00:00,Sp Lisbon,Portimonense,4,0,H,1.32,5.15,9.19,1.66,2.2,1517.96,1525.2,-7.24,1.6,1.6,2,1,2,1.4,0.4,4,0,1,0,0,0,0.0,0.0
2022-09-10 20:30:00,Porto,Chaves,3,0,H,1.15,7.6,17.48,1.5,2.54,1553.89,1500.05,53.84,2.4,0.8,4,0,1,1.2,0.8,2,2,1,0,0,0,0.0,0.0
2022-09-11 15:30:00,Pacos Ferreira,Casa Pia,2,3,A,2.83,3.06,2.64,2.42,1.56,1420.82,1528.68,-107.86,0.4,2.2,0,0,5,0.6,0.2,2,2,1,0,0,0,0.0,0.0
2022-09-11 18:00:00,Arouca,Boavista,1,2,A,2.67,3.1,2.77,2.32,1.6,1487.25,1525.53,-38.28,0.6,2.2,2,1,2,0.8,1.2,3,0,2,0,0,0,0.0,0.0
2022-09-11 18:00:00,Maritimo,Gil Vicente,1,2,A,2.8,3.13,2.61,2.19,1.66,1417.27,1496.53,-79.27,0.6,3.0,0,0,5,0.6,1.0,1,2,2,0,0,0,0.0,0.0
2022-09-11 20:30:00,Rio Ave,Sp Braga,2,3,A,5.39,3.94,1.61,1.8,2.0,1478.8,1567.33,-88.53,1.2,1.6,1,2,2,3.6,0.6,4,1,0,0,0,0,0.0,0.0
2022-09-12 20:15:00,Vizela,Estoril,0,1,A,2.26,3.21,3.26,2.17,1.67,1472.64,1510.92,-38.28,1.0,1.2,1,2,2,1.4,1.0,2,1,2,0,0,0,0.0,0.0
2022-09-16 20:15:00,Portimonense,Chaves,1,0,H,2.17,3.2,3.51,2.22,1.65,1539.12,1486.13,52.99,1.4,1.0,4,0,1,1.2,1.2,2,2,1,0,0,0,0.0,0.0
2022-09-17 15:30:00,Santa Clara,Pacos Ferreira,1,1,D,2.03,3.25,3.9,2.2,1.67,1454.91,1422.35,32.57,0.8,1.4,1,0,4,0.8,2.6,0,0,5,0,0,0,0.0,0.0
2022-09-17 15:30:00,Gil Vicente,Rio Ave,2,2,D,2.01,3.36,3.79,2.13,1.7,1495.77,1479.57,16.2,0.8,1.2,1,2,2,1.6,2.0,1,2,2,0,0,0,0.0,0.0
2022-09-17 18:00:00,Estoril,Porto,1,1,D,10.38,5.23,1.3,1.71,2.13,1512.77,1552.04,-39.27,1.2,1.0,2,1,2,2.0,0.6,4,0,1,0,0,0,0.0,0.0
