Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,HomeTeamElo,AwayTeamElo,EloDifference,Home_AvgGoalsScored,Home_AvgGoalsConceded,Home_Wins,Home_Draws,Home_Losses,Away_AvgGoalsScored,Away_AvgGoalsConceded,Away_Wins,Away_Draws,Away_Losses,HTH_HomeWins,HTH_AwayWins,HTH_Draws,HTH_AvgHomeGoals,HTH_AvgAwayGoals
2022-07-30 12:00:00,Livingston,Rangers,1,2,A,7.89,4.59,1.39,1.84,1.94,1485.0,1515.0,-30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-07-30 15:00:00,St Johnstone,Hibernian,0,1,A,3.25,3.0,2.37,2.53,1.5,1485.0,1515.0,-30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-07-30 15:00:00,Hearts,Ross County,2,1,H,1.55,4.08,5.73,1.84,1.94,1515.0,1485.0,30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-07-30 15:00:00,Kilmarnock,Dundee United,1,1,D,2.43,3.14,3.01,2.25,1.62,1500.0,1500.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-07-31 15:00:00,St Mirren,Motherwell,0,1,A,2.57,3.14,2.81,2.24,1.62,1485.0,1515.0,-30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-07-31 16:30:00,Celtic,Aberdeen,2,0,H,1.25,5.75,10.99,1.56,2.38,1515.0,1485.0,30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2022-08-06 15:00:00,Aberdeen,St Mirren,4,1,H,1.99,3.28,3.93,2.2,1.64,1500.0,1470.0,30.0,0.0,2.0,0,0,1,0.0,1.0,0,0,1,0,0,0,0.0,0.0
2022-08-06 15:00:00,Motherwell,St Johnstone,1,2,A,2.21,3.09,3.48,2.45,1.53,1498.71,1501.29,-2.58,1.0,0.0,1,0,0,0.0,1.0,0,0,1,0,0,0,0.0,0.0
2022-08-06 15:00:00,Rangers,Kilmarnock,2,0,H,1.21,6.37,13.53,1.54,2.41,1529.35,1485.65,43.71,2.0,1.0,1,0,0,1.0,1.0,0,1,0,0,0,0,0.0,0.0
2022-08-06 15:00:00,Ross County,Celtic,1,3,A,12.3,6.37,1.21,1.49,2.53,1471.29,1528.71,-57.42,1.0,2.0,0,0,1,2.0,0.0,1,0,0,0,0,0,0.0,0.0
2022-08-07 12:00:00,Hibernian,Hearts,1,1,D,2.78,3.15,2.6,2.17,1.66,1515.0,1515.0,0.0,1.0,0.0,1,0,0,2.0,1.0,1,0,0,0,0,0,0.0,0.0
